Marital_status,Application_mode,Application_order,Course,Previous_qualification,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,Status,Nationality,Attendance
Single,2nd phase - general contingent,1,Animation and Multimedia Design,Secondary education,122.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other - 11th Year of Schooling,Services/Retail,Unskilled Labor,127.3,Yes,No,No,Yes,Male,No,20,No,6,0,0,12.285714285714286,6,0,0,12.2,10.8,1.4,1.74,Dropout,Portuguese,Daytime
Single,International student (bachelor),1,Tourism,Secondary education,160.0,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Technical,Technical,142.5,Yes,No,No,No,Male,No,19,No,6,6,6,14.0,6,6,6,13.666666666666666,13.9,-0.3,0.79,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Communication Design,Secondary education,122.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,124.8,Yes,No,No,No,Male,No,19,No,6,0,0,12.285714285714286,6,0,0,12.2,10.8,1.4,1.74,Dropout,Portuguese,Daytime
Single,2nd phase - general contingent,2,Journalism and Communication,Secondary education,122.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Services/Retail,Technical,119.6,Yes,No,No,Yes,Female,No,20,No,6,8,6,13.428571428571429,6,10,5,12.4,9.4,-0.8,-3.12,Graduate,Portuguese,Daytime
Married,Over 23 years old,1,Social Service (evening attendance),Secondary education,133.1,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Labor,Unskilled Labor,141.5,No,No,No,Yes,Female,No,20,No,6,9,5,12.333333333333334,6,6,6,13.0,13.9,-0.3,0.79,Graduate,Portuguese,Evening
Married,Over 23 years old,1,Management (evening attendance),Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Industry/Construction,114.8,No,No,Yes,Yes,Male,No,20,No,5,10,5,11.857142857142858,5,8,5,11.5,16.2,0.3,-0.92,Graduate,Portuguese,Evening
Single,1st phase - general contingent,1,Nursing,Secondary education,142.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Industry/Construction,Military,128.4,Yes,No,No,Yes,Female,Yes,18,No,7,9,7,13.3,8,8,8,14.345,15.5,2.8,-4.06,Graduate,Portuguese,Daytime
Single,3rd phase - general contingent,1,Tourism,Secondary education,119.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,113.1,Yes,No,No,No,Male,No,22,No,5,5,0,12.285714285714286,5,5,0,12.2,15.5,2.8,-4.06,Dropout,Portuguese,Daytime
Single,1st phase - general contingent,3,Social Service,Secondary education,137.0,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Labor,Unskilled Labor,129.3,No,No,No,Yes,Female,Yes,21,Yes,6,8,6,13.875,6,7,6,14.142857142857142,16.2,0.3,-0.92,Graduate,Romanian,Daytime
Single,1st phase - general contingent,1,Social Service,Secondary education,138.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative,Industry/Construction,123.0,Yes,No,Yes,No,Female,No,18,No,6,9,5,11.4,6,14,2,13.5,8.9,1.4,3.51,Dropout,Portuguese,Daytime
